UniProt Accession,Entry name,Status,Protein names,Gene names,Organism,Length,3D,Cross-reference (SMR),,
Q41009,TOC34_PEA,reviewed,Translocase of chloroplast 34 (EC 3.6.5.-) (34 kDa chloroplast outer envelope protein) (GTP-binding protein IAP34) (GTP-binding protein OEP34),TOC34 IAP34 OEP34,Pisum sativum (Garden pea),310,X-ray crystallography (2),Q41009;,,456
B0M3E8,UGE1_PEA,reviewed,Bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1 (EC 5.1.3.2) (EC 5.1.3.5) (UDP-D-xylose 4-epimerase) (UDP-L-arabinose 4-epimerase) (UDP-galactose 4-epimerase 1) (UDP-glucose 4-epimerase 1) (PsUGE1),UGE1,Pisum sativum (Garden pea),350,,B0M3E8;,,
O04862,FOLM_PEA,reviewed,"Folate synthesis bifunctional protein, mitochondrial [Includes: 6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (HPPK) (EC 2.7.6.3) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (PPPK); Dihydropteroate synthase (DHPS) (EC 2.5.1.15)]",MitHPPK/DHPS,Pisum sativum (Garden pea),515,,O04862;,,
P31023,DLDH_PEA,reviewed,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein) (Pyruvate dehydrogenase complex E3 subunit) (E3) (PDC-E3)",LPD,Pisum sativum (Garden pea),501,X-ray crystallography (1),P31023;,,
Q75NZ0,SIR_PEA,reviewed,"Sulfite reductase [ferredoxin], chloroplastic (PsSiR) (EC 1.8.7.1)",SIR,Pisum sativum (Garden pea),685,,Q75NZ0;,,
P06585,PSBA_PEA,reviewed,Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (32 kDa thylakoid membrane protein) (Photosystem II Q(B) protein),psbA pgiI,Pisum sativum (Garden pea),353,Electron microscopy (2),P06585;,,
Q43088,RBCMT_PEA,reviewed,"Ribulose-1,5 bisphosphate carboxylase/oxygenase large subunit N-methyltransferase, chloroplastic (EC 2.1.1.127) ([Fructose-bisphosphate aldolase]-lysine N-methyltransferase) (EC 2.1.1.259) ([Ribulose-bisphosphate carboxylase]-lysine N-methyltransferase) (PsLSMT) (RuBisCO LSMT) (RuBisCO methyltransferase) (rbcMT)",RBCMT,Pisum sativum (Garden pea),489,X-ray crystallography (7),Q43088;,,
P07371,CB22_PEA,reviewed,"Chlorophyll a-b binding protein AB80, chloroplastic (LHCII type I CAB-AB80) (LHCP)",AB80,Pisum sativum (Garden pea),269,X-ray crystallography (2),P07371;,,
Q43077,AMO_PEA,reviewed,Primary amine oxidase (EC 1.4.3.21) (Amine oxidase [copper-containing]),,Pisum sativum (Garden pea),674,X-ray crystallography (2),Q43077;,,
P18823,ACCD_PEA,reviewed,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)",accD ycf11 zfpA,Pisum sativum (Garden pea),590,,,,
