Q96DA0 3AQG
P25311 1T7V
Q96AP4 6EI1
Q9Y2L8 2EM5
P08151 2GLI
Q14966 6SXW
P15822 1BBO
O60281 1X3C
Q9UPT8 2CQE
O96006 2CT5
Q9H4T2 2COT
Q9ULM3 5IQL
A4UGR9 4F14
P12955 2IW2
Q9NQW7 3CTZ
P12956 1JEQ
Q92834 4JHN
Q9Y6W5 2A40
Q7Z5K2 4K6J
Q9P202 1UEZ
Q14191 2AXL
Q8IZQ1 3WIM
Q8TF30 5X1G
Q96PQ0 1WGO
Q7L1W4 6M04
Q13303 1ZSX
Q13936 1T0J
P21796 2JK4
P04004 1OC0
P02774 1J78
P18206 1RKC
P08670 1GK4
Q00341 1VIG
P49748 2UXW
P50552 1EGX
P17948 1FLT
Q9Y279 2ICC
P54727 1P1A
P46939 1BHD
Q16851 3R2W
Q96JP2 2DLP
Q9UKN7 6KZ1
Q9HD67 2LW9
Q6PIF6 5MV7
Q13402 5MV9
Q9UM54 2N0Z
Q9NQX4 4L8T
Q9ULV0 4J5M
Q9Y4I1 4D07
Q13459 5C5S
Q8N1T3 6MBM
O00159 4BYF
Q15386 6K2C
P22314 4P22
Q15819 1J74
Q13404 2A4D
O95155 2KRE
Q93009 1NB8
Q13107 2Y6E
Q9UHP3 2MUX
Q9Y5T5 2I50
P62312 3JCR
Q9Y333 3JCR
O75643 2Q0Z
O43172 1MZW
P78324 2JJS
P35236 1ZC0
Q12923 1D5G
P42681 2DM0
Q01974 3ZZW
P35590 5N06
P52333 1YVJ
P07332 1WQU
P42684 2ECD
Q6IBS0 2VAC
Q99816 1KPP
P21580 2EQE
Q9BXT4 5M9N
Q86V25 6J4O
Q6ZT98 4YLR
Q14679 5T6X
P07437 3QNZ
P35030 1H4W
P19429 1J1D
P06753 6OTN
Q9NX74 4WFS
O14717 1G55
O75962 1NTY
O14773 1R60
Q9H8W5 2DS4
P60174 1HTI
Q9HCJ0 2DKL
P22102 1MEJ
Q07654 1E9T
P04155 1HI7
P02766 1BM7
Q9UL52 2OQ5
Q99598 3PJA
P13693 1YZ1
P49770 6CAJ
Q14232 3ECS
P29401 3MOS
P55072 3EBB
O94759 6MIX
P37802 1WYM
P61586 1A2B
Q15582 1X3B
Q14392 6GFF
P62995 2CQC
Q86YP4 2L2L
P46100 2JM1
O75478 1X41
Q99551 3MVA
O14867 2IHC
Q13263 1FP0
Q15545 4RGW
P49848 5FUR
O00268 1H3O
Q5VWG9 5C13
Q6P1X5 5FUR
Q8IZX4 3HMH
P29084 1D8J
A6H8Y1 5N9G
P48436 1S9M
O94993 7JJK
O14776 2DK7
P51532 2GRC
P20062 2BB5
P20061 2CKV
P37837 1F05
Q9Y296 2J3T
Q12888 1GZH
Q96HA7 5JA4
Q13077 3M0D
Q8WZ42 1BPV
O75663 5D9G
O95049 3KFV
Q9UDY2 2OSG
Q07157 2H2B
P62328 1UY5
P23919 1E2D
P07996 1LSL
P40225 1V7M
P26639 1WWT
Q9BRA2 1WOU
P10599 1AIU
P51580 2BZG
Q9NYJ8 2DAE
P36897 1B6C
Q9UGI8 2IYB
Q5VYS8 5W0B
Q63HR2 2DKQ
P24821 1TEN
Q15554 1H6P
O14746 2BCK
Q4KMQ1 6Y9Q
Q9Y4G6 6U4K
Q9Y490 1SYQ
P40227 6NR8
P49368 6NR8
Q99832 6NR8
P48643 5UYX
P50991 6NR8
P78371 6NR8
P17987 6NR8
O15119 1H6F
O00560 1N99
Q15833 4CCA
Q9HCH5 3BC1
Q15431 4YTO
O43426 1W80
Q99536 6K9Y
Q9UH65 2DN6
Q9NZC9 4MQV
Q9H4L7 6H3A
Q8TAQ2 6KAG
P00441 1AZV
O00338 3BFX
O00391 3LLI
Q9P2R7 6G4Q
P31040 6VAX
Q8IY92 4M7C
Q9NTJ3 4U4P
Q9UQE7 6WG3
Q14683 6WG3
A6NHR9 6MW7
P09238 1Q3A
Q13033 4N6J
P31948 1ELR
P38646 3N8E
Q96BD6 2JK9
Q8NCJ5 2YYO
Q12872 2E5Z
P26368 1JMT
Q07617 6I57
O15020 1WJM
Q01082 1AA2
P11277 1S35
Q13813 2FOT
P02549 1OWA
Q9UBP0 3EAB
Q8N0X7 2DL1
