 PDB_ID surface_ratio UniProtACID Organism
0 2EAN 0.15900851328402524 Q8WXI2 human
1 2DMH 0.1846549468057228 Q9NZM1 human
2 2CT5 0.211761748642984 O96006 human
3 2OEV 0.15166199979291226 Q8WUM4 human
4 1H0Z 0.16121664583057668 Q9NQ38 human
5 2MIO 0.16128883524102144 A1A4S6 human
6 6G52 0.14401514976945987 Q6P4Q7 human
7 4O6X 0.18710576110131766 Q12955 human
8 2I50 0.12872469049829408 Q9Y5T5 human
9 1JCN 0.18243968664013485 P20839 human
10 5C13 0.22027616871600286 Q5VWG9 human
11 5UZP 0.21696148036888485 O75390 human
12 2Q8F 0.22338278460147115 Q15118 human
13 4UML 0.11802282833850215 Q9NXN4 human
14 4N6J 0.22113724976066 Q13033 human
15 1WOU 0.0710007987436403 Q9BRA2 human
16 2CXY 0.13465721422016882 Q8NFD5 human
17 2XZG 0.1826005115657834 Q00610 human
18 4DMB 0.1999527191821324 Q7Z4H3 human
19 1C8Q 0.1277027593538052 P0DUB6 human
20 2DBA 0.1597257313697358 Q9H3U1 human
21 2H4V 0.16352271897358736 P23470 human
22 6BQ1 0.20205764017988667 P42356 human
23 1G86 0.1263406956919074 Q05315 human
24 3M0D 0.1875609239433545 Q13077 human
25 5JW7 0.11579438599217892 Q9BRZ2 human
26 3HMH 0.18972216774696 Q8IZX4 human
27 3UVM 0.1248396204600144 Q9UMN6 human
28 4IMY 0.18337401115682428 Q9UHB7 human
29 4R3O 0.162226309381936 P49720 human
30 4R3O 0.162226309381936 P60900 human
31 4R3O 0.162226309381936 P28066 human
32 4R3O 0.162226309381936 P25788 human
33 4R3O 0.162226309381936 P25787 human
34 4R3O 0.162226309381936 P25786 human
35 2E9X 0.24932917210251604 Q14691 human
36 1UJU 0.1711413042092251 Q14160 human
37 1AOA 0.11624441914992277 P13797 human
38 6OTN 0.18285744734253895 P06753 human
39 3P8C 0.2098683835521173 Q7L576 human
40 4NL9 0.10019445658549762 Q68DC2 human
