P04776 1FXZ
P08170 1F8N
P04347 1OD5
P10538 1BFN
P25974 1IPJ
P09186 1HU9
P24095 2IUK
P11827 1UIK
P28583 1S6I
Q94IC4 6J4J
P01070 1AVU
P13917 3AUP
B4YB07 6TC7
Q9FQE8 4CHS
I1MYY4 5T95
Q43758 1OAF
O22443 1FHF
Q39890 2KN2
Q6X0M8 7BUS
I1MJ34 5AGY
I1L6I6 3VBE
Q42795 2DQX
I1MGE5 6TL4
A5Z2K3 4XK8
K4FW35 6UXL
K7MRE7 6O09
I1N521 5VAB
I1KHY6 4N69
A0A0R0IK90 6UXH
P26987 2K7H
P24337 1HYP
P08995 1UFD
Q6LEG8 2RO8
Q8SAG1 4MAF
Q43446 2IUJ
O49235 2VO4
C6T221 4XK8
C6TEX2 2WSC
Q9M426 3KAJ
P62163 2RO9
P24826 7BUR
P01055 1BBI
P02238 1BIN
P01064 1PI2
P05046 1G9F
Q948P5 3A68
Q39837 1JU8
