P63103 1A37
A8E647 1AYO
P20004 1ACO
P60712 1HLU
A7MB62 1K8K
Q58CQ2 1K8K
Q3T035 1K8K
Q3SYX9 1K8K
P61157 1K8K
P52505 5LC5
P08166 1AK2
P84080 1R8Q
P20000 1A4Z
P00711 1F6R
P10152 1AGI
P04272 4X9P
P79134 1AVC
P19483 1BMF
P13619 2CLY
P00829 1BMF
P13620 2CLY
Q00361 6ZBB
Q28851 6ZBB
P05631 1BMF
P13621 2BO5
P02721 1VZS
P08037 1FGX
P01888 1BMG
P02754 1B0O
P18892 4HH8
P62157 1A29
Q2KIG3 3D4U
P00432 1TGU
P33046 1G89
P54229 2NDC
P54228 2KET
P07688 1ITO
P49951 1B89
P53620 1PZD
Q2UVX4 2B39
P31800 1BCC
P23004 1BCC
P00426 1OCC
P00428 1OCC
P00125 1BCC
P00727 1BLL
P79345 1NEP
P10790 1BWY
P02672 1DEQ
P02676 1DEQ
P00366 1HWY
P10096 4O59
P19120 1ATR
P01966 1FSX
P02070 1FSX
Q95114 2PQS
P80025 2IPS
P24627 1BLF
P11151 6U7M
P11024 1D4O
P23935 5LC5
P42029 5LC5
P52175 1BE4
P54149 1FVA
P18203 1FKK
P68401 1FXW
P02584 1HLU
Q5E987 1IRU
P00735 1A0H
P18902 1ERB
P19803 1AJW
P61823 1A2W
Q3SZN8 4PEQ
P02769 2L7U
P00442 1CB4
Q3ZBH0 3IYG
Q2T9X2 3IYG
Q3MHL7 3IYG
P35705 1ZYE
Q3T133 4J73
P81947 3DCO
P62990 1AAR
P80457 1FIQ
