Q41009 1H65
P31023 1DXL
P06585 5XNL
Q43088 1MLV
P07371 1VCR
Q43077 1KSI
P10933 1QFY
P48534 1APX
P06006 5XNL
P04717 4HHH
P27490 5XNL
P17067 1EKJ
A0A161AT60 2N81
Q9SQL2 1YO9
Q32904 3LW5
P46275 1D9Q
Q8SKU2 3MHP
P05310 1YO9
P09911 6YAC
P16048 1DXM
P10793 1YO9
P13554 5XNL
P05311 1YO9
E1C9L1 3LW5
A0A0M3KL10 4Y28
E1C9K8 3LW5
A0A0M3KL11 4Y28
E1C9K7 3LW5
E1C9K9 3LW5
Q41038 2O01
E1C9L3 3LW5
Q93YB2 3IWJ
Q9SP13 1W7W
Q7Y1T5 5XNL
Q8VYY1 5XNL
A0A0M3KL12 4Y28
Q6TEC4 2WMC
Q8VWZ1 3IWK
A0A0H2UKZ4 4RKU
Q6KBB1 2PWJ
A0A0M3KL13 4Y28
A0A182DV18 2N81
E1C9L2 3LW5
E1C9K6 3LW5
Q9XQR6 5XNL
E1C9L0 3LW5
P69529 5XNL
P17227 1YO9
P06004 5XNL
Q8HS25 5XNL
P49679 2M1M
P19243 5DS2
P60147 5XNL
Q32902 5XNL
P16059 5XNL
P13555 5XNL
Q9XQR3 5XNL
P20120 3LW5
P62096 5XNL
P07689 4HHH
A0A2D0TCJ1 5XNL
A0A0F6NFW5 6YAC
A0A0F6NGI2 5L8R
A0A2D0TCJ2 5XNL
A0A2D0TCJ0 5XNL
Q04918 5XNL
A0A2D0TCJ3 5XNL
D5MAL3 4RKU
D5MAJ8 5XNL
D5MAJ9 5XNL
P62931 1P8B
P02857 3KSC
P56679 1PBI
P02867 1BQP
P08212 3V3C
P19242 5DS1
P13240 4REV
P81930 6NOM
P81929 1JKZ
P14226 5XNL
