UniProt Accession,Gene Symbol,Protein Name,Expert Opinion,MS,IHC,mRNA
Q15942,ZYX,Zyxin,,"saliva: 16/3.62 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96DA0,ZG16B,Zymogen granule protein 16 homolog B,,"saliva: 4453/1911.39 peptides
parotid gland: 351/91 peptides
sm/sl glands: 693/606.94 peptides",high,1069.4
P25311,AZGP1,Zinc-alpha-2-glycoprotein,,"saliva: 9322/1940.05 peptides
parotid gland: 1867/270.3 peptides
sm/sl glands: 1632/601.23 peptides",high,270.5
Q96AP4,ZUP1,Zinc finger-containing ubiquitin peptidase 1,,"saliva: 25/3.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96KR1,ZFR,Zinc finger RNA-binding protein,,"saliva: 10/0.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,21.1
Q9Y2L8,ZKSCAN5,Zinc finger protein with KRAB and SCAN domains 5,,"saliva: 40/3.55 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13129,RLF,Zinc finger protein Rlf,,"saliva: 103/4.07 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,9.4
P10070,GLI2,Zinc finger protein GLI2,,"saliva: 4/0.33 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,0.2
P08151,GLI1,Zinc finger protein GLI1,,"saliva: 4/0.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,0.6
Q99684,GFI1,Zinc finger protein Gfi-1,,"saliva: 154/26.57 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,1.2
Q86YF9,DZIP1,Zinc finger protein DZIP1,,"saliva: 6/0.4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,3.2
Q6ZN30,BNC2,Zinc finger protein basonuclin-2,,"saliva: 3/0.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.3
A6NM28,ZFP92,Zinc finger protein 92 homolog,,"saliva: 10/1.68 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q7Z570,ZNF804A,Zinc finger protein 804A,,"saliva: 5/0.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.1
Q6PG37,ZNF790,Zinc finger protein 790,,"saliva: 16/1.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P51815,ZNF75D,Zinc finger protein 75D,,"saliva: 3/0.41 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,10
O43361,ZNF749,Zinc finger protein 749,,"saliva: 37/3.2 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,12.8
B4DXR9,ZNF732,Zinc finger protein 732,,"saliva: 2/0.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BY31,ZNF717,Zinc finger protein 717,,"saliva: 166/15.6 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
